Table 2. Civilian labor force and unemployment by selected metropolitan area and metropolitan division, seasonally adjusted

  LAUS      State   Area FIPS                                                                                    Civilian                                      Unemployment
  Code    FIPS Code   Code                       Selected Area and Division                       Year  Month   Labor Force       Employment    Unemployment        Rate

MT063110     06       31100      Los Angeles-Long Beach-Santa Ana, CA MSA                         2000    01     6,123,152         5,807,335       315,817           5.2
DV063108     06       31084         Los Angeles-Long Beach-Glendale, CA Met Div                   2000    01     4,655,939         4,392,701       263,238           5.7
DV064204     06       42044         Santa Ana-Anaheim-Irvine, CA Met Div                          2000    01     1,473,007         1,420,781        52,226           3.5
MT064186     06       41860      San Francisco-Oakland-Fremont, CA MSA                            2000    01     2,255,376         2,178,830        76,546           3.4
DV063608     06       36084         Oakland-Fremont-Hayward, CA Met Div                           2000    01     1,255,243         1,209,671        45,572           3.6
DV064188     06       41884         San Francisco-San Mateo-Redwood City, CA Met Div              2000    01     1,000,347           969,377        30,970           3.1
MT114790     11       47900      Washington-Arlington-Alexandria, DC-VA-MD-WV MSA                 2000    01     2,651,067         2,576,316        74,751           2.8
DV241364     24       13644         Bethesda-Rockville-Frederick, MD Met Div                      2000    01       596,281           580,609        15,672           2.6
DV114789     11       47894         Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div          2000    01     2,053,278         1,994,644        58,634           2.9
MT123310     12       33100      Miami-Fort Lauderdale-Pompano Beach, FL MSA                      2000    01     2,479,532         2,368,406       111,126           4.5
DV122274     12       22744         Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Met Div     2000    01       840,531           810,987        29,544           3.5
DV123312     12       33124         Miami-Miami Beach-Kendall, FL Met Div                         2000    01     1,103,895         1,046,110        57,785           5.2
DV124842     12       48424         West Palm Beach-Boca Raton-Boynton Beach, FL Met Div          2000    01       532,546           510,019        22,527           4.2
MT171698     17       16980      Chicago-Joliet-Naperville, IL-IN-WI MSA                          2000    01     4,772,738         4,575,303       197,435           4.1
DV171697     17       16974         Chicago-Joliet-Naperville, IL Met Div                         2000    01     4,036,291         3,859,634       176,657           4.4
DV182384     18       23844         Gary, IN Met Div                                              2000    01       328,962           318,178        10,784           3.3
DV172940     17       29404         Lake County-Kenosha County, IL-WI Met Div                     2000    01       416,093           400,502        15,591           3.7
MT257165     25       71650      Boston-Cambridge-Quincy, MA-NH Met NECTA                         2000    01     2,459,178         2,390,319        68,859           2.8
DV257165     25       71654         Boston-Cambridge-Quincy, MA NECTA Div                         2000    01     1,502,913         1,462,509        40,404           2.7
DV257210     25       72104         Brockton-Bridgewater-Easton, MA NECTA Div                     2000    01       123,864           120,114         3,750           3.0
DV257310     25       73104         Framingham, MA NECTA Div                                      2000    01       141,874           138,434         3,440           2.4
DV257360     25       73604         Haverhill-North Andover-Amesbury, MA-NH NECTA Div             2000    01       121,072           117,638         3,434           2.8
DV257420     25       74204         Lawrence-Methuen-Salem, MA-NH NECTA Div                       2000    01        67,420            64,249         3,171           4.7
DV257480     25       74804         Lowell-Billerica-Chelmsford, MA-NH NECTA Div                  2000    01       150,112           145,550         4,562           3.0
DV337540     33       75404         Nashua, NH-MA NECTA Div                                       2000    01       167,136           162,575         4,561           2.7
DV257652     25       76524         Peabody, MA NECTA Div                                         2000    01       126,146           122,461         3,685           2.9
DV257825     25       78254         Taunton-Norton-Raynham, MA NECTA Div                          2000    01        58,735            57,064         1,671           2.8
